Random Seed = 56
77 13 90 79
Reading cmse2.txt
Reading in 50x50 array
Done with Generation 243 with best=1 fitness=278
Done with Generation 244 with best=1 fitness=278
Done with Generation 245 with best=1 fitness=278
Done with Generation 246 with best=1 fitness=278
Done with Generation 247 with best=1 fitness=278
Done with Generation 248 with best=1 fitness=278
Done with Generation 249 with best=1 fitness=278
Done with Generation 250 with best=1 fitness=278
Done with Generation 251 with best=1 fitness=278
Done with Generation 252 with best=1 fitness=278
Done with Generation 253 with best=1 fitness=278
Done with Generation 254 with best=1 fitness=278
Done with Generation 255 with best=1 fitness=278
Done with Generation 256 with best=1 fitness=278
Done with Generation 257 with best=1 fitness=278
Done with Generation 258 with best=1 fitness=278
Done with Generation 259 with best=1 fitness=278
Done with Generation 260 with best=1 fitness=278
Done with Generation 261 with best=1 fitness=278
Done with Generation 262 with best=1 fitness=278
Done with Generation 263 with best=1 fitness=278
Done with Generation 264 with best=1 fitness=278
Done with Generation 265 with best=1 fitness=278
Done with Generation 266 with best=1 fitness=278
Done with Generation 267 with best=1 fitness=278
Done with Generation 268 with best=1 fitness=278
Done with Generation 269 with best=1 fitness=278
Done with Generation 270 with best=1 fitness=278
Done with Generation 271 with best=1 fitness=278
Done with Generation 272 with best=1 fitness=278
Done with Generation 273 with best=1 fitness=278
Done with Generation 274 with best=1 fitness=278
Done with Generation 275 with best=1 fitness=278
Done with Generation 276 with best=1 fitness=278
Done with Generation 277 with best=1 fitness=278
Done with Generation 278 with best=1 fitness=278
Done with Generation 279 with best=1 fitness=278
Done with Generation 280 with best=1 fitness=278
Done with Generation 281 with best=1 fitness=278
Done with Generation 282 with best=1 fitness=278
Done with Generation 283 with best=1 fitness=278
Done with Generation 284 with best=1 fitness=278
Done with Generation 285 with best=1 fitness=278
Done with Generation 286 with best=1 fitness=278
Done with Generation 287 with best=1 fitness=278
Done with Generation 288 with best=1 fitness=278
Done with Generation 289 with best=1 fitness=278
Done with Generation 290 with best=1 fitness=278
Done with Generation 291 with best=1 fitness=278
Done with Generation 292 with best=1 fitness=278
Done with Generation 293 with best=1 fitness=278
Done with Generation 294 with best=1 fitness=278
Done with Generation 295 with best=1 fitness=278
Done with Generation 296 with best=1 fitness=278
Done with Generation 297 with best=1 fitness=278
Done with Generation 298 with best=1 fitness=278
Done with Generation 299 with best=1 fitness=278
Done with Generation 300 with best=1 fitness=278
Done with Generation 301 with best=1 fitness=278
Done with Generation 302 with best=1 fitness=278
Done with Generation 303 with best=1 fitness=278
Done with Generation 304 with best=1 fitness=278
Done with Generation 305 with best=1 fitness=278
Done with Generation 306 with best=1 fitness=278
Done with Generation 307 with best=1 fitness=278
Done with Generation 308 with best=1 fitness=278
Done with Generation 309 with best=1 fitness=278
Done with Generation 310 with best=1 fitness=278
Done with Generation 311 with best=1 fitness=278
Done with Generation 312 with best=1 fitness=278
Done with Generation 313 with best=1 fitness=278
Done with Generation 314 with best=1 fitness=278
Done with Generation 315 with best=1 fitness=278
Done with Generation 316 with best=1 fitness=278
Done with Generation 317 with best=1 fitness=278
Done with Generation 318 with best=1 fitness=278
Done with Generation 319 with best=1 fitness=278
Done with Generation 320 with best=1 fitness=278
Done with Generation 321 with best=1 fitness=278
Done with Generation 322 with best=1 fitness=278
Done with Generation 323 with best=1 fitness=278
Done with Generation 324 with best=1 fitness=278
Done with Generation 325 with best=1 fitness=278
Done with Generation 326 with best=1 fitness=278
Done with Generation 327 with best=1 fitness=278
Done with Generation 328 with best=1 fitness=278
Done with Generation 329 with best=1 fitness=278
Done with Generation 330 with best=1 fitness=278
Done with Generation 331 with best=1 fitness=278
Done with Generation 332 with best=1 fitness=278
Done with Generation 333 with best=1 fitness=278
Done with Generation 334 with best=1 fitness=278
Done with Generation 335 with best=1 fitness=278
Done with Generation 336 with best=1 fitness=278
Done with Generation 337 with best=1 fitness=278
Done with Generation 338 with best=1 fitness=278
Done with Generation 339 with best=1 fitness=278
Done with Generation 340 with best=1 fitness=278
Done with Generation 341 with best=1 fitness=278
Done with Generation 342 with best=1 fitness=278
Done with Generation 343 with best=1 fitness=278
Done with Generation 344 with best=1 fitness=278
Done with Generation 345 with best=1 fitness=278
Done with Generation 346 with best=1 fitness=278
Done with Generation 347 with best=1 fitness=278
Done with Generation 348 with best=1 fitness=278
Done with Generation 349 with best=1 fitness=278
Done with Generation 350 with best=1 fitness=278
Done with Generation 351 with best=1 fitness=278
Done with Generation 352 with best=1 fitness=278
Done with Generation 353 with best=1 fitness=278
Done with Generation 354 with best=1 fitness=278
Done with Generation 355 with best=1 fitness=278
Done with Generation 356 with best=1 fitness=278
Done with Generation 357 with best=1 fitness=278
Done with Generation 358 with best=1 fitness=278
Done with Generation 359 with best=1 fitness=278
Done with Generation 360 with best=1 fitness=278
Done with Generation 361 with best=1 fitness=278
Done with Generation 362 with best=1 fitness=278
Done with Generation 363 with best=1 fitness=278
Done with Generation 364 with best=1 fitness=278
Done with Generation 365 with best=1 fitness=278
Done with Generation 366 with best=1 fitness=278
Done with Generation 367 with best=1 fitness=278
Done with Generation 368 with best=1 fitness=278
Done with Generation 369 with best=1 fitness=278
Done with Generation 370 with best=1 fitness=278
Done with Generation 371 with best=1 fitness=278
Done with Generation 372 with best=1 fitness=278
Done with Generation 373 with best=1 fitness=278
Done with Generation 374 with best=1 fitness=278
Done with Generation 375 with best=1 fitness=278
Done with Generation 376 with best=1 fitness=278
Done with Generation 377 with best=1 fitness=278
Done with Generation 378 with best=1 fitness=278
Done with Generation 379 with best=1 fitness=278
Done with Generation 380 with best=1 fitness=278
Done with Generation 381 with best=1 fitness=278
Done with Generation 382 with best=1 fitness=278
Done with Generation 383 with best=1 fitness=278
Done with Generation 384 with best=1 fitness=278
Done with Generation 385 with best=1 fitness=278
Done with Generation 386 with best=1 fitness=278
Done with Generation 387 with best=1 fitness=278
Done with Generation 388 with best=1 fitness=278
Done with Generation 389 with best=1 fitness=278
Done with Generation 390 with best=1 fitness=278
Done with Generation 391 with best=1 fitness=278
Done with Generation 392 with best=1 fitness=278
Done with Generation 393 with best=1 fitness=278
Done with Generation 394 with best=1 fitness=278
Done with Generation 395 with best=1 fitness=278
Done with Generation 396 with best=1 fitness=278
Done with Generation 397 with best=1 fitness=278
Done with Generation 398 with best=1 fitness=278
Done with Generation 399 with best=1 fitness=278
Done with Generation 400 with best=1 fitness=278
Done with Generation 401 with best=1 fitness=278
Done with Generation 402 with best=1 fitness=278
Done with Generation 403 with best=1 fitness=278
Done with Generation 404 with best=1 fitness=278
Done with Generation 405 with best=1 fitness=278
Done with Generation 406 with best=1 fitness=278
Done with Generation 407 with best=1 fitness=278
Done with Generation 408 with best=1 fitness=278
Done with Generation 409 with best=1 fitness=278
Done with Generation 410 with best=1 fitness=278
Done with Generation 411 with best=1 fitness=278
Done with Generation 412 with best=1 fitness=278
Done with Generation 413 with best=1 fitness=278
Done with Generation 414 with best=1 fitness=278
Done with Generation 415 with best=1 fitness=278
Done with Generation 416 with best=1 fitness=278
Done with Generation 417 with best=1 fitness=278
Done with Generation 418 with best=1 fitness=278
Done with Generation 419 with best=1 fitness=278
Done with Generation 420 with best=1 fitness=278
Done with Generation 421 with best=1 fitness=278
Done with Generation 422 with best=1 fitness=278
Done with Generation 423 with best=1 fitness=278
Done with Generation 424 with best=1 fitness=278
Done with Generation 425 with best=1 fitness=278
Done with Generation 426 with best=1 fitness=278
Done with Generation 427 with best=1 fitness=278
Done with Generation 428 with best=1 fitness=278
Done with Generation 429 with best=1 fitness=278
Done with Generation 430 with best=1 fitness=278
Done with Generation 431 with best=1 fitness=278
Done with Generation 432 with best=1 fitness=278
Done with Generation 433 with best=1 fitness=278
Done with Generation 434 with best=1 fitness=278
Done with Generation 435 with best=1 fitness=278
Done with Generation 436 with best=1 fitness=278
Done with Generation 437 with best=1 fitness=278
Done with Generation 438 with best=1 fitness=278
Done with Generation 439 with best=1 fitness=278
Done with Generation 440 with best=1 fitness=278
Done with Generation 441 with best=1 fitness=278
Done with Generation 442 with best=1 fitness=278
Done with Generation 443 with best=1 fitness=278
Done with Generation 444 with best=1 fitness=278
Done with Generation 445 with best=1 fitness=278
Done with Generation 446 with best=1 fitness=278
Done with Generation 447 with best=1 fitness=278
Done with Generation 448 with best=1 fitness=278
Done with Generation 449 with best=1 fitness=278
Done with Generation 450 with best=1 fitness=278
Done with Generation 451 with best=1 fitness=278
Done with Generation 452 with best=1 fitness=278
Done with Generation 453 with best=1 fitness=278
Done with Generation 454 with best=1 fitness=278
Done with Generation 455 with best=1 fitness=278
Done with Generation 456 with best=1 fitness=278
Done with Generation 457 with best=1 fitness=278
Done with Generation 458 with best=1 fitness=278
Done with Generation 459 with best=1 fitness=278
Done with Generation 460 with best=1 fitness=278
Done with Generation 461 with best=1 fitness=278
Done with Generation 462 with best=1 fitness=278
Done with Generation 463 with best=1 fitness=278
Done with Generation 464 with best=1 fitness=278
Done with Generation 465 with best=1 fitness=278
Done with Generation 466 with best=1 fitness=278
Done with Generation 467 with best=1 fitness=278
Done with Generation 468 with best=1 fitness=278
Done with Generation 469 with best=1 fitness=278
Done with Generation 470 with best=1 fitness=278
Done with Generation 471 with best=1 fitness=278
Done with Generation 472 with best=1 fitness=278
Done with Generation 473 with best=1 fitness=278
Done with Generation 474 with best=1 fitness=278
Done with Generation 475 with best=1 fitness=278
Done with Generation 476 with best=1 fitness=278
Done with Generation 477 with best=1 fitness=278
Done with Generation 478 with best=1 fitness=278
Done with Generation 479 with best=1 fitness=278
Done with Generation 480 with best=1 fitness=278
Done with Generation 481 with best=1 fitness=278
Done with Generation 482 with best=1 fitness=278
Done with Generation 483 with best=1 fitness=278
Done with Generation 484 with best=1 fitness=278
Done with Generation 485 with best=1 fitness=278
Done with Generation 486 with best=1 fitness=278
Done with Generation 487 with best=1 fitness=278
Done with Generation 488 with best=1 fitness=278
Done with Generation 489 with best=1 fitness=278
Done with Generation 490 with best=1 fitness=278
Done with Generation 491 with best=1 fitness=278
Done with Generation 492 with best=1 fitness=278
Done with Generation 493 with best=1 fitness=278
Done with Generation 494 with best=1 fitness=278
Done with Generation 495 with best=1 fitness=278
Done with Generation 496 with best=1 fitness=278
Done with Generation 497 with best=1 fitness=278
Done with Generation 498 with best=1 fitness=278
Done with Generation 499 with best=1 fitness=278
Done with Generation 500 with best=1 fitness=278
Done with Generation 501 with best=1 fitness=278
Done with Generation 502 with best=1 fitness=278
Done with Generation 503 with best=1 fitness=278
Done with Generation 504 with best=1 fitness=278
Done with Generation 505 with best=1 fitness=278
Done with Generation 506 with best=1 fitness=278
Done with Generation 507 with best=1 fitness=278
Done with Generation 508 with best=1 fitness=278
Done with Generation 509 with best=1 fitness=278
Done with Generation 510 with best=1 fitness=278
Done with Generation 511 with best=1 fitness=278
Done with Generation 512 with best=1 fitness=278
Done with Generation 513 with best=1 fitness=278
Done with Generation 514 with best=1 fitness=278
Done with Generation 515 with best=1 fitness=278
Done with Generation 516 with best=1 fitness=278
Done with Generation 517 with best=1 fitness=278
Done with Generation 518 with best=1 fitness=278
Done with Generation 519 with best=1 fitness=278
Done with Generation 520 with best=1 fitness=278
Done with Generation 521 with best=1 fitness=278
Done with Generation 522 with best=1 fitness=278
Done with Generation 523 with best=1 fitness=278
Done with Generation 524 with best=1 fitness=278
Done with Generation 525 with best=1 fitness=278
Done with Generation 526 with best=1 fitness=278
Done with Generation 527 with best=1 fitness=278
